time_step,pimple_iter,iter_time_s,reaction_time_s,other_time_s,reaction_percent,before_time,after_time,end_time
0.0587968,1,8.120000000000005,8.049999999999955,0.07000000000005002,99.13793103448214,795.58,803.63,803.7
0.059276,1,8.269999999999982,8.199999999999932,0.07000000000005002,99.15356711003567,803.7,811.9,811.97
0.0597551,1,8.470000000000027,8.409999999999968,0.06000000000005912,99.29161747343495,811.97,820.38,820.44
0.0602342,1,8.279999999999973,8.219999999999914,0.06000000000005912,99.27536231883987,820.45,828.67,828.73
0.0607133,1,8.409999999999968,8.350000000000023,0.05999999999994543,99.28656361474499,828.74,837.09,837.15
0.0611866,1,8.340000000000032,8.280000000000086,0.05999999999994543,99.280575539569,837.16,845.44,845.5
0.0616599,1,8.450000000000045,8.389999999999986,0.06000000000005912,99.28994082840167,845.5,853.89,853.95
0.0621333,1,8.230000000000018,8.169999999999959,0.06000000000005912,99.27095990279393,853.96,862.13,862.19
0.0626066,1,8.269999999999982,8.209999999999923,0.06000000000005912,99.27448609431609,862.19,870.4,870.46
0.063074,1,8.409999999999968,8.339999999999918,0.07000000000005002,99.16765755053449,870.47,878.81,878.88
0.0635414,1,8.340000000000032,8.279999999999973,0.06000000000005912,99.28057553956764,878.89,887.17,887.23
0.0640089,1,8.309999999999945,8.25,0.05999999999994543,99.27797833935084,887.24,895.49,895.55
0.0644703,1,8.530000000000086,8.470000000000027,0.06000000000005912,99.2966002344659,895.56,904.03,904.09
0.0649317,1,8.329999999999927,8.259999999999991,0.06999999999993634,99.15966386554697,904.1,912.36,912.43
0.0653931,1,8.319999999999936,8.25,0.06999999999993634,99.1586538461546,912.44,920.69,920.76
0.0658546,1,8.409999999999968,8.350000000000023,0.05999999999994543,99.28656361474499,920.76,929.11,929.17
0.0663098,1,8.6400000000001,8.57000000000005,0.07000000000005002,99.18981481481424,929.18,937.75,937.82
0.0667651,1,8.3599999999999,8.289999999999964,0.06999999999993634,99.16267942583808,937.82,946.11,946.18
0.0672204,1,8.529999999999973,8.469999999999914,0.06000000000005912,99.2966002344659,946.19,954.66,954.72
0.0676757,1,8.799999999999955,8.730000000000018,0.06999999999993634,99.20454545454618,954.73,963.46,963.53
0.0681246,1,8.769999999999982,8.710000000000036,0.05999999999994543,99.31584948688773,963.54,972.25,972.31
0.0685736,1,8.990000000000009,8.920000000000073,0.06999999999993634,99.2213570634045,972.31,981.23,981.3
0.0690225,1,9.270000000000095,9.200000000000045,0.07000000000005002,99.24487594390455,981.31,990.51,990.58
0.0694714,1,9.159999999999968,9.079999999999927,0.08000000000004093,99.1266375545847,990.59,999.67,999.75
0.0699139,1,9.049999999999955,8.970000000000027,0.07999999999992724,99.11602209944832,999.76,1008.73,1008.81
0.0703563,1,8.68999999999994,8.629999999999995,0.05999999999994543,99.30955120828601,1008.82,1017.45,1017.51
